devicename,date,CO2,Soil EC,Soil Moisture,Soil Nitrogen,Soil Phosphorus,Soil Potassium,Soil Temperature,Soil pH,date_of_feed,browns_amount,browns_description,greens_amount,greens_description,water,compost_harvested,NPK Ratio,NPK Status,C_N_Ratio,C_N_Status
NP002,2025-05-14,640,26.436636,100,312,,,,26.1,2025-05-14,0.2,Dried leaves,0.09,Banana Chye sim,0,0,31200.0 : 1.0 : 1.0,Unbalanced,2:1,Unbalanced
NP002,2025-05-15,1843,26.239033,100,269,,,,26,,,,,,,,26900.0 : 1.0 : 1.0,Unbalanced,7:1,Unbalanced
NP002,2025-05-16,1817,27.582209,100,283,,,,27.2,,,,,,,,28300.0 : 1.0 : 1.0,Unbalanced,6:1,Unbalanced
NP002,2025-05-17,1158,27.293812,95.13695,242,,,,27.3,,,,,,,,24200.0 : 1.0 : 1.0,Unbalanced,5:1,Unbalanced
NP002,2025-05-18,1049,26.030746,100,371,,,,26.5,,,,,,,,37100.0 : 1.0 : 1.0,Unbalanced,3:1,Unbalanced
NP002,2025-05-19,570,26.676966,96.807816,352,,,,26.2,,,,,,,,35200.0 : 1.0 : 1.0,Unbalanced,2:1,Unbalanced
NP002,2025-05-20,1461,26.855879,100,322,,,,26.9,,,,,,,,32200.0 : 1.0 : 1.0,Unbalanced,5:1,Unbalanced
NP002,2025-05-21,1105,28.25246,90.29374,323,,,,27.5,,,,,,,,32300.0 : 1.0 : 1.0,Unbalanced,3:1,Unbalanced
NP002,2025-05-22,1219,27.478065,100,1039,,,,26.8,,,,,,,,103900.0 : 1.0 : 1.0,Unbalanced,1:1,Unbalanced
NP002,2025-05-23,1201,27.59823,100,442,,,,29.9,,,,,,,,44200.0 : 1.0 : 1.0,Unbalanced,3:1,Unbalanced
NP002,2025-05-24,6545,29.956131,100,391,,,,30.1,,,,,,,,39100.0 : 1.0 : 1.0,Unbalanced,17:1,"Lady-Finger Optimal, Long Bean Optimal"
NP002,2025-05-25,1042,27.555504,100,369,,,,28.4,2025-05-25,0.18,"Dried leaves, Cardboard",0.09,"Coffee grounds, Banana",1700,0.2,36900.0 : 1.0 : 1.0,Unbalanced,3:1,Unbalanced
NP002,2025-05-26,4165,31.878767,95.097275,1093,,,,0,,,,,,,,109300.0 : 1.0 : 1.0,Unbalanced,4:1,Unbalanced
NP002,2025-05-27,4839,28.054855,93.26009,1345,,,,0,,,,,,,,134500.0 : 1.0 : 1.0,Unbalanced,4:1,Unbalanced
NP002,2025-05-28,4401,30.869383,93.48592,921,,,,0,,,,,,,,92100.0 : 1.0 : 1.0,Unbalanced,5:1,Unbalanced
NP002,2025-05-28,4401,30.869383,93.48592,921,,,,0,,,,,,,,92100.0 : 1.0 : 1.0,Unbalanced,5:1,Unbalanced
NP002,2025-06-02,14287,31.120394,99.684135,987,,,,29.8,,,,,,,,98700.0 : 1.0 : 1.0,Unbalanced,14:1,"Lady-Finger Optimal, Long Bean Optimal"
NP002,2025-06-03,12459,30.175097,99.31945,1029,,,,26.6,,,,,,,,102900.0 : 1.0 : 1.0,Unbalanced,12:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal"
NP002,2025-06-04,2903,29.069582,100,1560,,,,26.5,,,,,,,,156000.0 : 1.0 : 1.0,Unbalanced,2:1,Unbalanced
NP002,2025-06-09,3866,1616,54.7,300,739,734,28.6,5.8,,,,,,,,1.0 : 2.5 : 2.4,Unbalanced,13:1,"Lady-Finger Optimal, Long Bean Optimal"
NP002,2025-06-10,3258,1707,48.2,372,526,903,28.6,3,,,,,,,,1.0 : 1.4 : 2.4,Unbalanced,9:1,Unbalanced
NP002,2025-06-11,2834,1958,89.2,200,901,896,28.8,8.1,,,,,,,,1.0 : 4.5 : 4.5,Unbalanced,14:1,"Lady-Finger Optimal, Long Bean Optimal"
NP002,2025-06-12,769,1162,88.1,368,776,0,28.6,4.9,2025-06-12,0.22,"Dried leaves, Cardboard",0.11,"Chye sim, Coffee grounds",1000,0,36800.0 : 77600.0 : 1.0,Unbalanced,2:1,Unbalanced
NP002,2025-06-13,3583,1701,0,377,0,778,28.7,5.9,,,,,,,,37700.0 : 1.0 : 77800.0,Unbalanced,10:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal"
NP002,2025-06-14,2074,1757,91.6,207,888,0,30.1,71,,,,,,,,20700.0 : 88800.0 : 1.0,Unbalanced,10:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal"
NP002,2025-06-15,5348,1680,100,310,1441,1511,29.3,6.7,,,,,,,,1.0 : 4.6 : 4.9,Unbalanced,17:1,"Lady-Finger Optimal, Long Bean Optimal"
NP002,2025-06-16,10746,2062,63.3,320,784,786,28.9,78.5,,,,,,,,1.0 : 2.5 : 2.5,Unbalanced,34:1,Unbalanced
NP002,2025-06-17,1887,3136,47.9,673,582,1454,29.7,8.5,,,,,,,,1.2 : 1.0 : 2.5,Unbalanced,3:1,Unbalanced
NP002,2025-06-18,1755,1706,63.8,603,768,1425,32.6,5.9,,,,,,,,1.0 : 1.3 : 2.4,Unbalanced,3:1,Unbalanced
NP002,2025-06-19,491,1686,67.1,732,0,573,29.5,6.1,,,,,,,,73200.0 : 1.0 : 57300.0,Unbalanced,1:1,Unbalanced
NP002,2025-06-27,3160,1399,69.4,333,1302,1342,29.9,8.6,,,,,,,,1.0 : 3.9 : 4.0,Unbalanced,9:1,Unbalanced
NP002,2025-06-28,446,2885,100,303,1302,0,28.7,5.9,,,,,,,,30300.0 : 130200.0 : 1.0,Unbalanced,1:1,Unbalanced
NP002,2025-06-29,1817,1402,52.8,301,743,0,29.1,5.7,,,,,,,,30100.0 : 74300.0 : 1.0,Unbalanced,6:1,Unbalanced
NP002,2025-06-30,3152,1220,64.2,709,0,1230,28.1,6.1,2025-06-30,0.09,"Dried leaves, Cardboard",0.05,"Coffee grounds, Banana peel, Chye sim",150,0,70900.0 : 1.0 : 123000.0,Unbalanced,4:1,Unbalanced
NP002,2025-07-01,3578,1623,47.9,717,0,840,29.8,6,,,,,,,,71700.0 : 1.0 : 84000.0,Unbalanced,5:1,Unbalanced
NP002,2025-07-05,2623,1906,48.7,300,1293,733,27.7,77.4,,,,,,,,1.0 : 4.3 : 2.4,Unbalanced,9:1,Unbalanced
NP002,2025-07-06,2743,1529,48.1,359,849,1379,27.9,6.3,,,,,,,,1.0 : 2.4 : 3.8,Unbalanced,8:1,Unbalanced
NP002,2025-07-07,4628,1885,36.3,644,1498,348,27.5,6.7,,,,,,,,1.9 : 4.3 : 1.0,Unbalanced,7:1,Unbalanced
NP002,2025-07-08,5337,1820,64.7,341,1155,869,29.2,4.8,,,,,,,,1.0 : 3.4 : 2.5,Unbalanced,16:1,"Lady-Finger Optimal, Long Bean Optimal"
NP002,2025-07-09,3185,1642,79.1,142,374,1710,31.2,6.6,,,,,,,,1.0 : 2.6 : 12.0,Unbalanced,22:1,"Lady-Finger Optimal, Long Bean Optimal"
NP002,2025-07-10,2635,1964,89.6,535,1284,744,28.4,7.8,,,,,,,,1.0 : 2.4 : 1.4,Unbalanced,5:1,Unbalanced
NP002,2025-07-11,1802,1790,24.5,360,960,374,29,8,,,,,,,,1.0 : 2.7 : 1.0,Unbalanced,5:1,Unbalanced
NP002,2025-07-12,1266,1790,38.1,551,1006,737,28.9,8.6,,,,,,,,1.0 : 1.8 : 1.3,Unbalanced,2:1,Unbalanced
NP006,2025-05-26,7145,29.026855,100,1070,,,,30.2,2025-05-26,0.04,Dried Leaves,0.14,Coffee grounds,400,0,107000.0 : 1.0 : 1.0,Unbalanced,7:1,Unbalanced
NP006,2025-05-27,4849,28.044174,100,1033,,,,26.9,,,,,,,,103300.0 : 1.0 : 1.0,Unbalanced,5:1,Unbalanced
NP006,2025-05-28,4640,29.87602,99.72381,1275,,,,30.3,,,,,,,,127500.0 : 1.0 : 1.0,Unbalanced,4:1,Unbalanced
NP006,2025-05-28,4640,29.87602,99.72381,1275,,,,30.3,,,,,,,,127500.0 : 1.0 : 1.0,Unbalanced,4:1,Unbalanced
NP006,2025-06-02,3217,29.069582,100,1030,,,,29.8,2025-06-02,0,None,0,None,29.8,0.2,103000.0 : 1.0 : 1.0,Unbalanced,3:1,Unbalanced
NP006,2025-06-03,2606,27.966736,100,1031,,,,0,,,,,,,,103100.0 : 1.0 : 1.0,Unbalanced,3:1,Unbalanced
NP006,2025-06-04,2908,29.064241,100,995,,,,2483.2,,,,,,,,99500.0 : 1.0 : 1.0,Unbalanced,3:1,Unbalanced
NP006,2025-06-09,3861,1619,53.3,299,738,735,28.7,5.8,,,,,,,,1.0 : 2.5 : 2.5,Unbalanced,13:1,"Lady-Finger Optimal, Long Bean Optimal"
NP006,2025-06-10,1417,1967,56.6,317,904,0,30.4,4.7,,,,,,,,31700.0 : 90400.0 : 1.0,Unbalanced,4:1,Unbalanced
NP006,2025-06-11,773,1961,100,327,1639,505,28.4,70.6,,,,,,,,1.0 : 5.0 : 1.5,Unbalanced,2:1,Unbalanced
NP006,2025-06-12,1361,1748,70.6,315,901,903,29.9,71.3,2025-06-12,0.07,Dried Leaves,0.14,Coffee grounds,200,0,1.0 : 2.9 : 2.9,Unbalanced,4:1,Unbalanced
NP006,2025-06-13,1393,3409,66,361,0,798,29.7,5.9,,,,,,,,36100.0 : 1.0 : 79800.0,Unbalanced,4:1,Unbalanced
NP006,2025-06-14,2386,1927,63.6,327,917,885,0,4.9,,,,,,,,1.0 : 2.8 : 2.7,Unbalanced,7:1,Unbalanced
NP006,2025-06-15,5348,2100,100,603,589,0,30.2,5.2,,,,,,,,60300.0 : 58900.0 : 1.0,Unbalanced,9:1,Unbalanced
NP006,2025-06-16,5886,1685,47,320,1422,0,29.4,6,,,,,,,,32000.0 : 142200.0 : 1.0,Unbalanced,18:1,"Lady-Finger Optimal, Long Bean Optimal"
NP006,2025-06-17,5393,3077,87.1,616,788,1606,29.5,8.9,,,,,,,,1.0 : 1.3 : 2.6,Unbalanced,9:1,Unbalanced
NP006,2025-06-18,510,1777,53.3,223,988,559,29.4,5.8,,,,,,,,1.0 : 4.4 : 2.5,Unbalanced,2:1,Unbalanced
NP006,2025-06-19,5355,1686,100,595,960,767,30.5,8.5,,,,,,,,1.0 : 1.6 : 1.3,Unbalanced,9:1,Unbalanced
NP006,2025-06-27,1367,1219,100,559,772,747,30.1,8.6,,,,,,,,1.0 : 1.4 : 1.3,Unbalanced,2:1,Unbalanced
NP006,2025-06-28,5491,1718,100,563,821,779,28.4,6.5,,,,,,,,1.0 : 1.5 : 1.4,Unbalanced,10:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal"
NP006,2025-06-29,1206,2751,50.4,551,1320,0,29.3,5.4,,,,,,,,55100.0 : 132000.0 : 1.0,Unbalanced,2:1,Unbalanced
NP006,2025-06-30,2442,1221,66.4,359,1311,876,27.8,5.8,2025-06-30,0.04,"Dried leaves, Cardboard",0.08,"Coffee grounds, Banana peel, Chye sim",120,0,1.0 : 3.7 : 2.4,Unbalanced,7:1,Unbalanced
NP006,2025-07-01,2756,2618,52.2,563,1339,1212,28.3,8.3,,,,,,,,1.0 : 2.4 : 2.2,Unbalanced,5:1,Unbalanced
NP006,2025-07-05,3196,1169,100,539,875,1258,28.5,6,,,,,,,,1.0 : 1.6 : 2.3,Unbalanced,6:1,Unbalanced
NP006,2025-07-06,1118,1614,50.6,523,0,874,28.9,5.8,,,,,,,,52300.0 : 1.0 : 87400.0,Unbalanced,2:1,Unbalanced
NP006,2025-07-07,1798,821,73.4,299,738,807,27.5,5.9,2025-07-07,0.04,"Dried leaves, Cardboard",0.08,"Coffee grounds, Eggshells",150,200,1.0 : 2.5 : 2.7,Unbalanced,6:1,Unbalanced
NP006,2025-07-08,3275,2484,73.4,479,872,833,29.2,6.4,,,,,,,,1.0 : 1.8 : 1.7,Unbalanced,7:1,Unbalanced
NP006,2025-07-09,2661,3624,80.2,364,749,1720,28.2,8.6,,,,,,,,1.0 : 2.1 : 4.7,Unbalanced,7:1,Unbalanced
NP006,2025-07-10,4560,2751,38.1,261,835,352,28.4,6,,,,,,,,1.0 : 3.2 : 1.3,Unbalanced,17:1,"Lady-Finger Optimal, Long Bean Optimal"
NP006,2025-07-11,3213,2081,38.5,335,951,355,29,6,,,,,,,,1.0 : 2.8 : 1.1,Unbalanced,10:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal"
NP006,2025-07-12,1264,1787,36.4,547,360,819,28.9,5.5,,,,,,,,1.5 : 1.0 : 2.3,Unbalanced,2:1,Unbalanced